reference,nom,categorie,sous_categorie,prix,stock,etat,couleur,taille,pointure,marque,matiere,genre,description_courte,description,note_produit,dossier_images,statut,nb_images,nb_videos,confiance_regroupement,controle_requis,fichiers_sources,prix_min_marche,prix_max_marche,prix_a_verifier,prix_source_logique,source_web,niveau_verification
PR011,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR011.txt,PR011,draft,1,0,media_unique_a_verifier,oui,0c94b668-c588-4363-a562-2b0858ca0648.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR012,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR012.txt,PR012,draft,1,0,media_unique_a_verifier,oui,0d41dd8a-1262-4bc7-833c-4c1d8136b76c.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR013,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR013.txt,PR013,draft,1,0,media_unique_a_verifier,oui,0e0476ef-f764-45a5-8ca6-0564572d8b6d.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR014,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR014.txt,PR014,draft,1,0,media_unique_a_verifier,oui,0e95cbf5-6465-4adf-9c6b-2e20732fdcdc.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR015,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR015.txt,PR015,draft,1,0,media_unique_a_verifier,oui,0e963069-6a0e-42ee-ba89-81b40b3f1a6f.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR016,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR016.txt,PR016,draft,1,0,media_unique_a_verifier,oui,0ec56ac3-e432-4b10-a722-7d9785e6ba3b.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR017,Eau de parfum,Parfums,Eau de parfum,10000,1,,,,,,,Mixte,"Eau de parfum présentée avec son flacon ou son emballage, destinée à compléter une collection de fragrances.","Eau de parfum

Cette fragrance est présentée avec son flacon ou son emballage visible sur le média associé. Elle convient à une utilisation quotidienne ou à des occasions particulières, selon son profil olfactif.

INFORMATIONS À CONFIRMER
• Nom commercial exact
• Marque
• Contenance
• Concentration et notes olfactives

Aucune pyramide olfactive ni comparaison avec une autre fragrance n’est ajoutée sans identification certaine du produit.",produits/notes/PR017.txt,PR017,draft,1,0,media_unique_a_verifier,oui,0f1515c4-132a-43e9-9306-989f6dd35cc8.jpeg,6800,15000,oui,Prix indicatif pour une eau de parfum générique/non identifiée. Marque et contenance à confirmer.,,Produit non identifié avec une certitude suffisante
PR018,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR018.txt,PR018,draft,1,0,media_unique_a_verifier,oui,0fa45c1c-ff4c-4586-a5d4-84409f78fa02.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR019,Eau de parfum,Parfums,Eau de parfum,10000,1,,,,,,,Mixte,"Eau de parfum présentée avec son flacon ou son emballage, destinée à compléter une collection de fragrances.","Eau de parfum

Cette fragrance est présentée avec son flacon ou son emballage visible sur le média associé. Elle convient à une utilisation quotidienne ou à des occasions particulières, selon son profil olfactif.

INFORMATIONS À CONFIRMER
• Nom commercial exact
• Marque
• Contenance
• Concentration et notes olfactives

Aucune pyramide olfactive ni comparaison avec une autre fragrance n’est ajoutée sans identification certaine du produit.",produits/notes/PR019.txt,PR019,draft,1,0,media_unique_a_verifier,oui,1062aa7c-ba4e-469a-9c9b-ec179ea234e4.jpeg,6800,15000,oui,Prix indicatif pour une eau de parfum générique/non identifiée. Marque et contenance à confirmer.,,Produit non identifié avec une certitude suffisante
PR020,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR020.txt,PR020,draft,1,0,media_unique_a_verifier,oui,10e6e62f-4253-4ae8-a27d-09b72230961d.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR021,Soin parfumé pour le corps,Beauté et soins,Soin corporel,3000,1,,,,,,,Femme,Soin corporel parfumé destiné à compléter une routine beauté quotidienne.,"Soin parfumé pour le corps

Ce soin parfumé pour le corps s’intègre dans une routine beauté et laisse la peau délicatement parfumée. Le produit et son conditionnement sont présentés sur le média associé.",produits/notes/PR021.txt,PR021,draft,1,0,media_unique_a_verifier,oui,117971df-62d2-4f10-882a-fb46eb4ef888.jpeg,2000,6000,oui,"Prix indicatif pour un soin corporel parfumé générique, contenance et marque non confirmées.",,Description enrichie ; informations d’étiquette à vérifier
PR022,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR022.txt,PR022,draft,1,0,media_unique_a_verifier,oui,128dc04d-7c73-4f28-8f27-d1dc7e77032a.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR023,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR023.txt,PR023,draft,1,0,media_unique_a_verifier,oui,12f6aa57-eb97-4048-86ff-81f9915d756d.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR024,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR024.txt,PR024,draft,1,0,media_unique_a_verifier,oui,14e17608-788d-40b9-b872-75d02c65fa13.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR025,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR025.txt,PR025,draft,1,0,media_unique_a_verifier,oui,15fb2d1e-6428-4ac2-8558-fa008fde60a9.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR026,Soin parfumé pour le corps,Beauté et soins,Soin corporel,3000,1,,,,,,,Femme,Soin corporel parfumé destiné à compléter une routine beauté quotidienne.,"Soin parfumé pour le corps

Ce soin parfumé pour le corps s’intègre dans une routine beauté et laisse la peau délicatement parfumée. Le produit et son conditionnement sont présentés sur le média associé.",produits/notes/PR026.txt,PR026,draft,1,0,media_unique_a_verifier,oui,189cf469-8abf-4e84-9c5c-96b89013e2ba.jpeg,2000,6000,oui,"Prix indicatif pour un soin corporel parfumé générique, contenance et marque non confirmées.",,Description enrichie ; informations d’étiquette à vérifier
PR027,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR027.txt,PR027,draft,1,0,media_unique_a_verifier,oui,19d47597-08be-4945-bd24-7500765d89fe.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR028,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR028.txt,PR028,draft,1,0,media_unique_a_verifier,oui,1a2168a9-7b5b-40b7-a362-732164d015eb.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR029,Déodorant corporel parfumé,Beauté et soins,Déodorant,3000,1,,,,,,,Mixte,Déodorant corporel parfumé pour une sensation de fraîcheur au quotidien.,"Déodorant corporel parfumé

Ce déodorant corporel parfumé est conçu pour compléter une routine de soin et apporter une sensation de fraîcheur. Son conditionnement et sa présentation sont visibles sur le média associé.",produits/notes/PR029.txt,PR029,draft,1,0,media_unique_a_verifier,oui,1a889576-205c-41b0-a49f-88dd02a5b562.jpeg,2500,5000,oui,"Prix indicatif pour un déodorant corporel générique, contenance et marque non confirmées.",,Description enrichie ; informations d’étiquette à vérifier
PR030,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR030.txt,PR030,draft,1,0,media_unique_a_verifier,oui,1af6e8e8-3749-44b2-84c0-32b38fe6f401.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR031,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR031.txt,PR031,draft,1,0,media_unique_a_verifier,oui,1e03b6f8-c2c6-4c83-8ddc-1eedc3b5d579.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR032,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR032.txt,PR032,draft,1,0,media_unique_a_verifier,oui,20285762-3499-4dc0-b144-ddb55d06b487.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR033,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR033.txt,PR033,draft,1,0,media_unique_a_verifier,oui,23b5c3b3-0d9b-4cb4-9b71-ae2076423231.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR034,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR034.txt,PR034,draft,1,0,media_unique_a_verifier,oui,244ec68f-8caa-4485-a571-5160a8e467cf.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR035,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR035.txt,PR035,draft,1,0,media_unique_a_verifier,oui,2464d7a9-cad5-4c0b-9efe-b03051970547.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR036,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR036.txt,PR036,draft,1,0,media_unique_a_verifier,oui,24f399fb-9706-4f2c-8d71-d95d336c0474.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR037,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR037.txt,PR037,draft,1,0,media_unique_a_verifier,oui,26ddce9f-a1bf-47f4-85ec-d334e5671a20.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR038,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR038.txt,PR038,draft,1,0,media_unique_a_verifier,oui,2960bebf-2595-4431-ae9b-375097201da3.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR039,Sac à main femme,Sacs,Sac à main,12000,1,,,,,,,Femme,"Sac à main femme au style élégant, conçu pour accompagner les tenues du quotidien comme les occasions habillées.","Sac à main femme

Ce sac à main pour femme présente une silhouette élégante et soignée. Son format permet de transporter les essentiels du quotidien tout en conservant une allure structurée et féminine. Il peut accompagner une tenue de travail, une sortie en ville ou une occasion plus habillée.",produits/notes/PR039.txt,PR039,draft,1,0,media_unique_a_verifier,oui,29cb3a3a-ec03-4434-965c-dc0a5e0eae5c.jpeg,10000,20000,oui,"Prix indicatif pour un sac à main femme générique, sans marque ni matière confirmées.",,Description enrichie ; marque et modèle à vérifier sur le média
PR040,Eau de parfum,Parfums,Eau de parfum,10000,1,,,,,,,Mixte,"Eau de parfum présentée avec son flacon ou son emballage, destinée à compléter une collection de fragrances.","Eau de parfum

Cette fragrance est présentée avec son flacon ou son emballage visible sur le média associé. Elle convient à une utilisation quotidienne ou à des occasions particulières, selon son profil olfactif.

INFORMATIONS À CONFIRMER
• Nom commercial exact
• Marque
• Contenance
• Concentration et notes olfactives

Aucune pyramide olfactive ni comparaison avec une autre fragrance n’est ajoutée sans identification certaine du produit.",produits/notes/PR040.txt,PR040,draft,1,0,media_unique_a_verifier,oui,2aa4c03d-e1c2-4c65-bc16-e19fc72f271d.jpeg,6800,15000,oui,Prix indicatif pour une eau de parfum générique/non identifiée. Marque et contenance à confirmer.,,Produit non identifié avec une certitude suffisante
